quarter,shares,revenue,assets,liabilities,price
Q4-2020,2710913650,33883000000,250615000000,84737000000,232.73
Q1-2021,2710913650,28602000000,257978000000,92583000000,226.73
Q2-2021,2710913650,31865000000,265653000000,92402000000,226.78
Q3-2021,2710913650,31147000000,267820000000,95812000000,148.05
Q4-2021,2710913650,38066000000,276271000000,100495000000,107.9
Q1-2022,2710913650,32188000000,267467000000,96755000000,108.8 
Q2-2022,2710913650,30689000000,255053000000,91375000000,113.68 
Q3-2022,2.6B,29124M,240746M,88574M,79.99
Q4-2022,2.6B,35921M,256934M,96030M,100	
Q1-2023,2.6B,30316M,255263M,91753M,102.18
Q2-2023,2.5B,32292M,245032M,86848M,83.35
Q3-2023,2.5B,30810M,248299M,87931M,86.74
Q4-2023,2.5B,36669M,256478M,95570M,77.51
Q1-2024,2434M,30729M,244426M,90333M,72.36